Model,Version,Accuracy,Precision,Recall,Specificity,F1,ROC_AUC,MCC
random_forest,full,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lightgbm,full,1.0,1.0,1.0,1.0,1.0,1.0,1.0
xgboost,full,1.0,1.0,1.0,1.0,1.0,1.0,1.0
extra_trees,full,0.975,0.9737,0.9867,0.9556,0.9801,0.9985,0.9466
ann,full,0.9667,1.0,0.9467,1.0,0.9726,1.0,0.9324
logistic_regression,full,0.9583,1.0,0.9333,1.0,0.9655,0.9988,0.9165
svm,full,0.9583,0.9861,0.9467,0.9778,0.966,0.9988,0.9135
decision_tree,full,0.95,0.9726,0.9467,0.9556,0.9595,0.9684,0.8948
